----------------------------------------------------------------------------
        UniProt - Swiss-Prot Protein Knowledgebase
        SIB Swiss Institute of Bioinformatics; Geneva, Switzerland
        European Bioinformatics Institute (EBI); Hinxton, United Kingdom
        Protein Information Resource (PIR); Washington DC, USA
----------------------------------------------------------------------------

Description: Drosophila: entries, gene names and cross-references to
             FlyBase
Name:        fly.txt
Release:     2016_07 of 06-Jul-2016

----------------------------------------------------------------------------

More information on Drosophila, its  genome, proteome, biology and genetics,
is available from the following WWW servers:

FlyBase      : http://flybase.org/

For each Drosophila entry in Swiss-Prot we provide the following information:

1) Primary gene name

   We indicate as the primary gene name, the gene symbol  currently in use
   in FlyBase.

2) Drosophila FlyBase species 'code'

   If a sequence does not originate from Drosophila melanogaster, then the
   species of origin is indicated using the  FlyBase  four letter code for
   that  species.   Example, Dvir stands for Drosophila virilis. All these
   codes refer to Drosophila species with the exception of the following:

   Camo for Chymomyza amoena
   Salb for Scaptomyza albovittata
   Ztub for Zaprionus tuberculatus

3) Swiss-Prot entry name

4) Swiss-Prot primary accession number

5) FlyBase gene accession number

   If more than one Swiss-Prot entries are linked to the same FlyBase entry
   than only the FlyBase gene accession number is only indicated once. This
   occurs when multiple entries are created due to alternative  splicing or
   when a transposable element encodes for a number of putative proteins.


Gene name           Fly    Swiss-Prot               FlyBase
BBS4                       BBS4_DROME   A1Z8E9      FBgn0033578
bcd                        BCD_DROME    P09081      FBgn0000166
                    Dsub   BCD_DROSU    P55924      FBgn0015175
bcn92                      BCN92_DROME  O46098      FBgn0013432
                    Dsub   BCN92_DROSU  P82116      FBgn0012951
bdl                        BDL_DROME    Q9U4G1      FBgn0028482
beg                        FABD_DROME   Q8T3L6      FBgn0036691
bel                        DDX3_DROME   Q9VHP0      FBgn0263231
ben                        UBE2N_DROME  P35128      FBgn0000173
betaCOP                    COPB_DROME   P45437      FBgn0008635
beta'COP                   COPB2_DROME  O62621      FBgn0025724
beta-PheRS                 SYFB_DROME   Q9VCA5      FBgn0039175
beta-Spec                  SPTCB_DROME  Q00963      FBgn0250788
betaTry                    TRYB_DROME   P35004      FBgn0010357
                    Dere   TRYB_DROER   P54625      FBgn0015077
betaTub56D                 TBB1_DROME   Q24560      FBgn0003887
betaTub60D                 TBB3_DROME   P08841      FBgn0003888
betaTub85D                 TBB2_DROME   P61857      FBgn0003889
                    Dere   TBB2_DROER   P83130      FBgn0022664
                    Dhyd   TBB2_DROHY   P61858      FBgn0012356
Bgb                        BGB_DROME    Q24040      FBgn0013753
bgcn                       BGCN_DROME   Q9W1I2      FBgn0004581
bgm                        BGM_DROME    Q9V3S9      FBgn0027348
B-H1                       BARH1_DROME  Q24255      FBgn0011758
                    Dana   BARH1_DROAN  P22544      FBgn0012114
B-H2                       BARH2_DROME  Q24256      FBgn0004854
bi                         OMB_DROME    Q24432      FBgn0000179
BI-1                       BI1_DROME    Q9VSH3      FBgn0035871
bib                        BIB_DROME    P23645      FBgn0000180
BicC                       BICC_DROME   Q24009      FBgn0000182
BicD                       BICD_DROME   P16568      FBgn0000183
bin                        FOXF_DROME   Q9VS05      FBgn0045759
Bin1                       SAP18_DROME  Q9VEX9      FBgn0024491
bin3                       BN3D1_DROME  Q7K480      FBgn0263144
Blm                        BLM_DROME    Q9VGI8      FBgn0002906
Blos1                      BL1S1_DROME  A1Z9S1      FBgn0050077
Blos2                      BL1S2_DROME  Q9VTE0      FBgn0036118
Blos3                      BL1S3_DROME  A8JNV4      FBgn0085284
Blos4                      BL1S4_DROME  Q9VTC2      FBgn0036105
blp                        TIM16_DROME  Q9VF08      FBgn0038387
blw                        ATPA_DROME   P35381      FBgn0011211
bnb                        BNB_DROME    P29746      FBgn0001090
bnk                        BNK_DROME    P40794      FBgn0004389
boca                       MESD_DROME   Q8T9B6      FBgn0004132
bocks                      BOCKS_DROME  Q709R6      FBgn0037719
bol                        BOULE_DROME  Q24207      FBgn0011206
bonsai                     RT15_DROME   Q8WTC1      FBgn0026261
bora                       BORA_DROME   Q9VVR2      FBgn0259791
borr                       BOREA_DROME  Q9VLD6      FBgn0032105
boss                       BOSS_DROME   P22815      FBgn0000206
                    Dvir   BOSS_DROVI   Q24738      FBgn0013105
botv                       EXT3_DROME   Q9XZ08      FBgn0027535
bowl                       BOWEL_DROME  Q9VQU9      FBgn0004893
BoYb                       BOYB_DROME   Q9VNP5      FBgn0037205
br                         BRC1_DROME   Q01295      FBgn0283451
                           BRC4_DROME   Q24206                 
brat                       BRAT_DROME   Q8MQJ9      FBgn0010300
Brca2                      BRCA2_DROME  Q9W157      FBgn0050169
Bre1                       BRE1_DROME   Q9VRP9      FBgn0086694
brm                        BRM_DROME    P25439      FBgn0000212
brn                        BRN_DROME    Q24157      FBgn0000221
Bro                        BRO_DROME    Q24039      FBgn0013755
bru                        BRU_DROME    Q9VIL0      FBgn0261787
bs                         SRF_DROME    Q24535      FBgn0004101
Bsg25A                     ELBA1_DROME  Q9VR17      FBgn0000227
Bsg25D                     BSG2_DROME   P11929      FBgn0000228
bsh                        BSH_DROME    Q04787      FBgn0000529
bsk                        JNK_DROME    P92208      FBgn0000229
BS\RTase                   RTBS_DROME   Q95SX7      FBgn0044506
btd                        BTD_DROME    Q24266      FBgn0000233
BthD                       BTHD_DROME   Q9VYB0      FBgn0030501
Btk29A                     BTKL_DROME   P08630      FBgn0003502
btl                        FGFR2_DROME  Q09147      FBgn0005592
Bug22                      CFA20_DROME  Q9VKV8      FBgn0032248
bun                        BUN1_DROME   Q24522      FBgn0259176
                           BUN2_DROME   Q24523                 
Burs                       BURS_DROME   Q9VD83      FBgn0038901
bw                         BROWN_DROME  P12428      FBgn0000241
                    Dvir   BROWN_DROVI  Q24739      FBgn0013916
bwa                        ACASE_DROME  Q9VIP7      FBgn0045064
Bx42                       BX42_DROME   P39736      FBgn0004856
byn                        BYN_DROME    P55965      FBgn0011723
bys                        BYS_DROME    P51406      FBgn0010292
C1GalTA                    C1GLT_DROME  Q7K237      FBgn0032078
C3G                        C3G_DROME    O77086      FBgn0259228
c12.1                      CWC15_DROME  Q9V3B6      FBgn0040235
Ca-alpha1D                 CAC1D_DROME  Q24270      FBgn0001991
cac                        CAC1A_DROME  P91645      FBgn0263111
cact                       CACT_DROME   Q03017      FBgn0000250
                    Dyak   CACT_DROYA   P83757      FBgn0067432
cactin                     CATIN_DROME  Q9VR99      FBgn0031114
cad                        CAD_DROME    P09085      FBgn0000251
Cad86C                     CAD86_DROME  Q9VGW1      FBgn0261053
Cad87A                     CAD87_DROME  Q9VGG5      FBgn0037963
Cad89D                     CAD89_DROME  Q9VEU1      FBgn0038439
Cad96Ca                    CAD96_DROME  Q9VBW3      FBgn0022800
CadN                       CADN_DROME   O15943      FBgn0015609
CadN2                      CADN2_DROME  Q9VJB6      FBgn0262018
Cadps                      CAPS_DROME   Q9NHE5      FBgn0053653
Caf1                       CAF1_DROME   Q24572      FBgn0263979
CalpA                      CANA_DROME   Q11002      FBgn0012051
CalpB                      CANB_DROME   Q9VT65      FBgn0025866
CalpC                      CANC_DROME   Q9VXH6      FBgn0260450
Cals                       CSTN1_DROME  Q9V498      FBgn0039928
calypso                    CALYP_DROME  Q7K5N4      FBgn0262166
Cam                        CALM_DROME   P62152      FBgn0000253
CaMKII                     KCC2A_DROME  Q00168      FBgn0264607
CanA1                      PP2B1_DROME  P48456      FBgn0010015
CanA-14F                   PP2B3_DROME  Q9VXF1      FBgn0267912
CanB                       CANB1_DROME  P48451      FBgn0010014
CanB2                      CANB2_DROME  Q24214      FBgn0015614
Cand1                      CAND1_DROME  Q9VKY2      FBgn0027568
Ca-P60A                    ATC1_DROME   P22700      FBgn0263006
Capa                       CP2B_DROME   Q9NIP6      FBgn0039722
CapaR                      CAPAR_DROME  Q8ITC7      FBgn0037100
Capr                       CAPR1_DROME  Q9I7D3      FBgn0042134
capu                       CAPU_DROME   Q24120      FBgn0000256
car                        VP33A_DROME  Q9Y1I2      FBgn0000257
cas                        CAS_DROME    Q7M3M8      FBgn0004878
Cas                        XPO2_DROME   Q9XZU1      FBgn0022213
CASK                       CSKP_DROME   Q24210      FBgn0013759
Cat                        CATA_DROME   P17336      FBgn0000261
Catsup                     CSUP_DROME   Q9V3A4      FBgn0002022
caup                       CAUP_DROME   P54269      FBgn0015919
cav                        CAV_DROME    Q95RV2      FBgn0026257
                    Dsim   CAV_DROSI    B4QT24      FBgn0250857
caz                        CAZ_DROME    Q27294      FBgn0011571
cbc                        CLP1_DROME   Q7K284      FBgn0033842
Cbp20                      NCBP2_DROME  Q9V3L6      FBgn0022943
Cbp53E                     CAB32_DROME  P41044      FBgn0004580
Cbp80                      NCBP1_DROME  Q7K4N3      FBgn0022942
cbx                        AKTP1_DROME  Q7K4V4      FBgn0011241
CCAP                       CCAP_DROME   Q9VCW0      FBgn0039007
CCAP-R                     CCAPR_DROME  Q868T3      FBgn0039396
CCDC53                     CCD53_DROME  Q9VLT8      FBgn0031979
Ccdc56                     COA3_DROME   P0DKM0      FBgn0261353
CCHa1                      CCHA1_DROME  Q4V4I9      FBgn0038199
CCHa1-R                    CCH1R_DROME  A1ZAX0      FBgn0050106
CCHa2                      CCHA2_DROME  Q8SXL2      FBgn0038147
CCHa2-R                    CCH2R_DROME  Q4V622      FBgn0033058
Cctgamma                   TCPG_DROME   P48605      FBgn0015019
CDase                      NCASE_DROME  Q9VA70      FBgn0039774
Cdc37                      CDC37_DROME  Q24276      FBgn0011573
                    Dvir   CDC37_DROVI  Q24740      FBgn0013067
Cdc42                      CDC42_DROME  P40793      FBgn0010341
CdGAPr                     CDGAP_DROME  Q9VIS1      FBgn0032821
Cdk1                       CDK1_DROME   P23572      FBgn0004106
Cdk2                       CDK2_DROME   P23573      FBgn0004107
Cdk5                       CDK5_DROME   P48609      FBgn0013762
Cdk8                       CDK8_DROME   Q9VT57      FBgn0015618
Cdk12                      CDK12_DROME  Q9VP22      FBgn0037093
Cdlc2                      DYL2_DROME   O96860      FBgn0026141
CdsA                       CDSA_DROME   P56079      FBgn0010350
Cec1                Dvir   CEC1_DROVI   Q94557      FBgn0015675
Cec2A               Dvir   CEC2_DROVI   Q94990      FBgn0017817
Cec2B               Dvir   CEC2_DROVI   Q94990      FBgn0017816
Cec3                Dvir   CEC1_DROVI   Q94557      FBgn0017815
CecA1                      CECA_DROME   P14954      FBgn0000276
                    Dmau   CECA1_DROMA  P81685      FBgn0023320
                    Dsec   CECA1_DROSE  P81688      FBgn0025653
                    Dsim   CECA1_DROSI  O61272      FBgn0025039
CecA2                      CECA_DROME   P14954      FBgn0000277
                    Dyak   CECA2_DROYA  O61281      FBgn0025013
CecB                       CECB_DROME   P14956      FBgn0000278
                    Dmau   CECB_DROMA   P81686      FBgn0023318
                    Dsec   CECB_DROSE   P67791      FBgn0025652
                    Dsim   CECB_DROSI   P67792      FBgn0025038
CecC                       CECC_DROME   O16829      FBgn0000279
                    Dere   CECC_DROER   P84222      FBgn0046966
                    Dmau   CECC_DROMA   P84019      FBgn0023317
                    Dore   CECC_DROOR   P84223      FBgn0046937
                    Dsec   CECC_DROSE   P84020      FBgn0046928
                    Dsim   CECC_DROSI   P84021      FBgn0046915
                    Dtak   CECC_DROTK   P84224      FBgn0046906
                    Dtei   CECC_DROTE   P84225      FBgn0046903
                    Dyak   CECC_DROYA   P84226      FBgn0046893
ced-6                      CED6_DROME   Q7JUY7      FBgn0029092
CenG1A                     CEG1A_DROME  Q9NGC3      FBgn0028509
Cep89                      CEP89_DROME  Q7JVA5      FBgn0266708
Cf2                        CF2_DROME    P20385      FBgn0000286
Cfp1                       CXXC1_DROME  Q9W352      FBgn0030121
Cg25C                      CO4A1_DROME  P08120      FBgn0000299
Cha                        CLAT_DROME   P07668      FBgn0000303
chb                        CLASP_DROME  Q9NBD7      FBgn0021760
Chc                        CLH_DROME    P29742      FBgn0000319
Chd1                       CHD1_DROME   Q7KU24      FBgn0250786
Chd3                       CHD3_DROME   O16102      FBgn0023395
Che-13                     IFT57_DROME  Q9VQS5      FBgn0031550
cher                       FLNA_DROME   Q9VEN1      FBgn0014141
chic                       PROF_DROME   P25843      FBgn0000308
chico                      IRS1_DROME   Q9XTN2      FBgn0024248
chif                       CHIF_DROME   Q9NK54      FBgn0000307
chn                        CHN_DROME    Q7YU81      FBgn0015371
CHORD                      CHRD1_DROME  Q9VCC0      FBgn0029503
chp                        CHAO_DROME   P12024      FBgn0267435
chrb                       CHRB_DROME   Q9VTI8      FBgn0036165
Cht2                       CHIT2_DROME  Q9W092      FBgn0022702
Cht3                       CHIT3_DROME  Q9W5U2      FBgn0250907
ci                         CI_DROME     P19538      FBgn0004859
                    Dyak   CI_DROYA     O77027      FBgn0022826
CIA30                      CIA30_DROME  Q9VAI1      FBgn0039689
Ciao1                      CIAO1_DROME  Q7K1Y4      FBgn0033972
CIAPIN1                    DRE2_DROME   Q9V3Y2      FBgn0001977
cic                        CIC_DROME    Q9U1H0      FBgn0262582
cid                        CID_DROME    Q9V6Q2      FBgn0040477
cin                        CIN_DROME    P39205      FBgn0000316
Cirl                       LPHN_DROME   A1Z7G7      FBgn0033313
Cisd2                      CISD2_DROME  Q9VAM6      FBgn0062442
ck                         MYO7A_DROME  Q9V3Z6      FBgn0000317
                    Dpse   MYO7A_DROPS  Q29P71      FBgn0080461
CkIalpha                   KC1A_DROME   P54367      FBgn0015024
CkIIalpha                  CSK2A_DROME  P08181      FBgn0264492
CkIIbeta                   CSK2B_DROME  P08182      FBgn0000259
CkIIbeta2                  CSK2C_DROME  O96863      FBgn0026136
Cks30A                     CKS1_DROME   Q24152      FBgn0010314
Claspin                    CLSPN_DROME  Q8IRB5      FBgn0052251
Clbn                       NEMF_DROME   Q9VBX1      FBgn0259152
Clc                        CLC_DROME    Q9VWA1      FBgn0024814
ClC-a                      CLCN2_DROME  Q9VGH7      FBgn0051116
CLIP-190                   CL190_DROME  Q9VJE5      FBgn0020503
Clk                        CLOCK_DROME  O61735      FBgn0023076
Clp                        CPSF4_DROME  Q9VPT8      FBgn0015621
CLS                        CRLS1_DROME  Q8MZC4      FBgn0039360
clu                        CLU_DROME    A1ZAB5      FBgn0034087
cn                         KMO_DROME    A1Z746      FBgn0000337
cnc                        CNC_DROME    P20482      FBgn0262975
CngA                       CNGA_DROME   Q24278      FBgn0261612
cni                        CNI_DROME    P49858      FBgn0000339
                    Dvir   CNI_DROVI    P52159      FBgn0266015
cN-IIIB                    5NT3B_DROME  Q9W197      FBgn0034988
cnn                        CNN_DROME    P54623      FBgn0013765
Cog3                       COG3_DROME   Q961G1      FBgn0031536
Cog7                       COG7_DROME   Q9VAD6      FBgn0051040
coil                       COIL_DROME   A1Z7A8      FBgn0033265
colt                       COLT_DROME   Q9VQG4      FBgn0019830
comm                       COMM_DROME   Q24139      FBgn0010105
comt                       NSF1_DROME   P46461      FBgn0000346
Con                        CONN_DROME   Q01819      FBgn0005775
Cont                       CONT_DROME   Q9VN14      FBgn0037240
copia\GIP                  COPIA_DROME  P04146      FBgn0013437
Coprox                     HEM6_DROME   Q9V3D2      FBgn0021944
Coq2                       COQ2_DROME   Q9VHS7      FBgn0037574
cora                       41_DROME     Q9V8R9      FBgn0010434
CoRest                     RCOR_DROME   Q59E36      FBgn0261573
cort                       CORT_DROME   Q960N3      FBgn0000351
corto                      CORTO_DROME  P41046      FBgn0010313
cos                        COS_DROME    O16844      FBgn0000352
COX5A                      COX5A_DROME  Q94514      FBgn0019624
COX7A                      COX7A_DROME  Q9VHS2      FBgn0040529
Cp1                        CATL_DROME   Q95029      FBgn0013770
Cp15                       CH15_DROME   P07185      FBgn0000355
                    Dgri   CH15_DROGR   P13425      FBgn0012317
                    Dsub   CH15_DROSU   P13426      FBgn0012933
                    Dvir   CH15_DROVI   P13424      FBgn0013068
Cp16                       CH16_DROME   P22977      FBgn0000356
                    Dgri   CH16_DROGR   P24510      FBgn0012318
                    Dsub   CH16_DROSU   P24511      FBgn0012934
                    Dvir   CH16_DROVI   P24512      FBgn0013069
Cp18                       CH18_DROME   P07184      FBgn0000357
                    Dgri   CH18_DROGR   P24513      FBgn0012319
                    Dsub   CH18_DROSU   P24514      FBgn0012935
                    Dvir   CH18_DROVI   P24515      FBgn0013070
Cp19                       CH19_DROME   P07186      FBgn0000358
                    Dgri   CH19_DROGR   P13427      FBgn0012320
                    Dsub   CH19_DROSU   P13428      FBgn0012936
                    Dvir   CH19_DROVI   P24516      FBgn0013071
Cp36                       CH36_DROME   P07182      FBgn0000359
                    Dvir   CH36_DROVI   P17111      FBgn0013072
Cp38                       CH38_DROME   P07183      FBgn0000360
Cp190                      CP190_DROME  Q24478      FBgn0000283
cpa                        CAPZA_DROME  Q9W2N0      FBgn0034577
cpb                        CAPZB_DROME  P48603      FBgn0011570
Cpn                        CPN_DROME    Q02910      FBgn0261714
cpo                        CPO_DROME    Q01617      FBgn0263995
Cpr                        NCPR_DROME   Q27597      FBgn0015623
Cpr47Eg                    LCP2A_DROME  Q7JZV0      FBgn0086519
Cpsf73                     CPSF3_DROME  Q9VE51      FBgn0261065
Cpsf100                    CPSF2_DROME  Q9V3D6      FBgn0027873
Cpsf160                    CPSF1_DROME  Q9V726      FBgn0024698
cpx                        CPLX_DROME   Q8IPM8      FBgn0041605
crb                        CRB_DROME    P10040      FBgn0259685
Crc                        CALR_DROME   P29413      FBgn0005585
CrebA                      CREBA_DROME  P29747      FBgn0004396
CrebB                      CREBB_DROME  Q9VWW0      FBgn0265784
Crk                        CRK_DROME    Q9XYM0      FBgn0024811
crm                        CRM_DROME    O76906      FBgn0000376
                    Dsec   CRM_DROSE    Q8MX88      FBgn0063998
crn                        CRN_DROME    P17886      FBgn0000377
croc                       CROC_DROME   P32027      FBgn0014143
crq                        CRQ_DROME    Q27367      FBgn0015924
cry                        CRY1_DROME   O77059      FBgn0025680
Crz                        CORZ_DROME   Q26377      FBgn0013767
                    Dere   CORZ_DROER   Q5W1L4      FBgn0064625
                    Dpse   CORZ_DROPS   Q299B0      FBgn0077255
                    Dsim   CORZ_DROSI   Q5W1L5      FBgn0064364
                    Dvir   CORZ_DROVI   Q5W1L3      FBgn0064313
CSN1b                      CSN1_DROME   Q9VVU5      FBgn0027057
CSN3                       CSN3_DROME   Q8SYG2      FBgn0027055
CSN4                       CSN4_DROME   Q9V345      FBgn0027054
CSN5                       CSN5_DROME   Q9XZ58      FBgn0027053
CSN6                       CSN6_DROME   Q9VCY3      FBgn0028837
CSN7                       CSN7_DROME   Q9V4S8      FBgn0028836
CSN8                       CSN8_DROME   Q7KTH8      FBgn0261437
Csp                        DNJC5_DROME  Q03751      FBgn0004179
csul                       ANM5_DROME   Q9U6Y9      FBgn0015925
csw                        CSW_DROME    P29349      FBgn0000382
                    Dsim   CSW_DROSI    Q8ISC9      FBgn0063985
                    Dvir   CSW_DROVI    Q24708      FBgn0016496
ct                         CUT_DROME    P10180      FBgn0004198
cta                        GNAL_DROME   P25157      FBgn0000384
CtBP                       CTBP_DROME   O46036      FBgn0020496
ctp                        DYL1_DROME   Q24117      FBgn0011760
CTPsyn                     PYRG_DROME   Q9VUL1      FBgn0266452
Cubn                       CUBN_DROME   Q9W332      FBgn0052702
cue                        CUE_DROME    Q95RU0      FBgn0011204
cuff                       CUFF_DROME   Q9V629      FBgn0260932
Cul1                       CUL1_DROME   Q24311      FBgn0015509
cup                        CUP_DROME    Q9VMA3      FBgn0000392
cyc                        CYCL_DROME   O61734      FBgn0023094
CycA                       CCNA_DROME   P14785      FBgn0000404
CycB                       CCNB_DROME   P20439      FBgn0000405
CycB3                      CCNB3_DROME  Q9I7I0      FBgn0015625
CycC                       CCNC_DROME   P25008      FBgn0004597
CycE                       CCNE_DROME   P54733      FBgn0010382
CycG                       CYCG_DROME   Q95TJ9      FBgn0039858
CycT                       CCNT_DROME   O96433      FBgn0025455
Cyp1                       PPIA_DROME   P25007      FBgn0004432
Cyp4aa1                    C4AA1_DROME  Q9V7G5      FBgn0034053
Cyp4ac1                    C4AC1_DROME  Q9VMS9      FBgn0031693
Cyp4ac2                    C4AC2_DROME  Q9VMS8      FBgn0031694
Cyp4ac3                    C4AC3_DROME  Q9VMS7      FBgn0031695
Cyp4ad1                    C4AD1_DROME  Q9V4T3      FBgn0033292
Cyp4ae1                    C4AE1_DROME  O46054      FBgn0015036
Cyp4c3                     CP4C3_DROME  Q9VA27      FBgn0015032
Cyp4d1                     CP4D1_DROME  P33269      FBgn0005670
                    Dsim   CP4D1_DROSI  O16805      FBgn0024396
Cyp4d2                     CP4D2_DROME  Q27589      FBgn0011576
Cyp4d8                     CP4D8_DROME  Q9VS79      FBgn0015033
Cyp4d10             Dmet   C4D10_DROMT  O18596      FBgn0021345
Cyp4d14                    C4D14_DROME  O46051      FBgn0023541
Cyp4d20                    C4D20_DROME  Q9W011      FBgn0035344
Cyp4d21                    C4D21_DROME  Q9VLZ7      FBgn0031925
Cyp4e1                     CP4E1_DROME  Q9V4T5      FBgn0015034
Cyp4e2                     CP4E2_DROME  Q27606      FBgn0014469
Cyp4e3                     CP4E3_DROME  Q9VL92      FBgn0015035
Cyp4e5              Dmet   CP4E5_DROMT  O44221      FBgn0023312
Cyp4g1                     CP4G1_DROME  Q9V3S0      FBgn0010019
Cyp4g15                    C4G15_DROME  Q9VYY4      FBgn0030304
Cyp4p1                     CP4P1_DROME  Q9V558      FBgn0015037
Cyp4p2                     CP4P2_DROME  Q9V557      FBgn0033395
Cyp4p3                     CP4P3_DROME  Q9V559      FBgn0033397
Cyp4s3                     CP4S3_DROME  Q9VXY0      FBgn0030615
Cyp6a2                     CP6A2_DROME  P33270      FBgn0000473
Cyp6a8                     CP6A8_DROME  Q27593      FBgn0013772
Cyp6a9                     CP6A9_DROME  Q27594      FBgn0013771
Cyp6a13                    C6A13_DROME  Q9V4U9      FBgn0033304
Cyp6a14                    C6A14_DROME  Q9V4U7      FBgn0033302
Cyp6a17                    C6A17_DROME  Q9V770      FBgn0015714
Cyp6a18                    C6A18_DROME  Q9VB31      FBgn0039519
Cyp6a19                    C6A19_DROME  P82711      FBgn0033979
Cyp6a20                    C6A20_DROME  Q9V773      FBgn0033980
